System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.sk89q.worldguard.protection.flags","DoubleFlag","DoubleFlag",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.sk89q.worldguard.protection.managers.migration","DriverMigration","DriverMigration",1,4,22,13,418.68,0.03,1,0,1,5,2,1,5.14,0,0,0,0,10,0,4,0,0,81.41,12
"No System Name","com.sk89q.worldguard.bukkit.util","Entities","Entities",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit.listener.debounce.legacy","EntityEntityEventDebounce","EntityEntityEventDebounce",1,2,10,8,75.00,0.01,0,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.flags","EntityTypeFlag","EntityTypeFlag",1,2,13,11,161.90,0.01,2,0,0,3,1,1,3.60,0,0,0,0,7,0,1,0,0,44.97,6
"No System Name","com.sk89q.worldguard.protection.flags","EntityTypeFlag","EntityTypeFlag",1,2,16,13,228.37,0.02,3,0,0,3,2,1,3.86,0,0,0,0,7,0,2,0,0,59.21,9
"No System Name","com.sk89q.worldguard.util.collect","LongHashTable$Entry","Entry",1,3,17,13,196.59,0.02,1,0,0,4,2,0,3.12,0,0,0,0,7,0,3,0,0,62.91,10
"No System Name","com.sk89q.worldguard.util.collect","EntryBase","EntryBase",1,2,12,10,179.38,0.01,0,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.sk89q.worldguard.session.handler","EntryFlag","EntryFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.flags","EnumFlag","EnumFlag",1,3,21,16,462.00,0.03,3,0,0,4,2,1,5.50,0,0,0,0,10,0,3,0,0,84.00,11
"No System Name","com.sk89q.worldguard.protection.flags","EnumFlag","EnumFlag",1,3,24,18,560.44,0.03,4,0,0,4,3,1,5.60,0,0,0,0,10,0,4,0,0,100.08,14
"No System Name","com.sk89q.worldguard.protection.managers.index","ChunkHashTable$EnumerateRegions","EnumerateRegions",1,2,16,12,163.88,0.02,2,1,2,3,1,1,2.86,0,0,0,0,8,0,1,0,0,57.36,8
"No System Name","com.sk89q.worldguard.protection.managers.index","ChunkHashTable$EnumerateRegions","EnumerateRegions",1,4,28,18,758.93,0.04,2,1,2,5,1,1,6.50,0,0,0,0,15,0,4,0,0,116.76,13
"No System Name","com.sk89q.worldguard.util","Enums","Enums",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.util.concurrent","EvenMoreExecutors","EvenMoreExecutors",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.bukkit.listener","EventAbstractionListener","EventAbstractionListener",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.bukkit.listener.debounce","EventDebounce","EventDebounce",1,2,55,33,1981.73,0.09,3,2,0,12,1,1,7.14,0,0,0,0,30,0,3,0,0,277.44,25
"No System Name","com.sk89q.worldguard.blacklist.event","EventType","EventType",1,3,25,17,875.88,0.03,4,0,0,4,2,1,8.57,0,0,0,0,13,0,4,0,0,102.19,12
"No System Name","com.sk89q.worldguard.bukkit.util","Events","Events",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.session.handler","ExitFlag","ExitFlag",1,2,13,11,131.17,0.01,2,0,0,3,1,1,2.92,0,0,0,0,6,0,2,0,0,44.97,7
"No System Name","com.sk89q.worldguard.protection.managers.index","ChunkHashTable$Factory","Factory",1,3,21,16,630.00,0.03,3,0,1,4,1,1,7.50,0,0,0,0,12,0,3,0,0,84.00,9
"No System Name","com.sk89q.worldguard.protection","FailedLoadRegionSet","FailedLoadRegionSet",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.session.handler","FarewellFlag","FarewellFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.session.handler","FeedFlag","FeedFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.blacklist.logger","FileHandler","FileHandler",2,7,48,22,2229.72,0.07,3,1,0,9,4,1,10.42,0,0,1,0,23,0,9,0,1,214.05,25
"No System Name","com.sk89q.worldguard.blacklist.logger","FileHandler","FileHandler",1,4,28,13,710.48,0.03,2,0,0,5,3,1,6.86,0,0,0,0,12,0,6,0,0,103.61,16
"No System Name","com.sk89q.worldguard.protection.flags","Flag","Flag",1,2,13,11,131.17,0.01,2,0,1,3,1,1,2.92,0,0,0,0,6,0,2,0,0,44.97,7
"No System Name","com.sk89q.worldguard.protection.flags","Flag","Flag",1,3,34,23,1510.05,0.05,3,1,0,4,2,1,9.82,0,0,0,0,16,0,6,0,0,153.80,18
"No System Name","com.sk89q.worldguard.protection","FlagValueCalculator","FlagValueCalculator",2,7,54,26,2828.32,0.08,4,2,1,10,2,1,11.14,0,0,1,0,28,0,11,0,2,253.82,26
"No System Name","com.sk89q.worldguard.session.handler","FlagValueChangeHandler","FlagValueChangeHandler",1,3,21,16,462.00,0.03,3,0,0,4,2,1,5.50,0,0,0,0,10,0,3,0,0,84.00,11
"No System Name","com.sk89q.worldguard.util.net","HttpRequest$Form","Form",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.util.task","FutureForwardingTask","FutureForwardingTask",1,4,30,21,840.03,0.04,4,0,1,5,3,1,6.38,0,0,0,0,13,0,5,0,0,131.77,17
